Ability,Pick %,Win %,Avg Pick #,Value
Nyx Assassin,86.54%,49.68%,35.78,8.54%
Deafening Blast,67.83%,47.83%,35.80,-9.89%
Splinter Blast,51.63%,47.47%,35.80,-13.52%
Surge,83.18%,50.25%,35.81,14.31%
Spectre,59.73%,44.71%,35.82,-41.12%
Time Zone,73.40%,48.26%,35.83,-5.58%
Summon Familiars,37.25%,46.68%,35.85,-21.34%
Multishot,75.84%,48.72%,35.87,-0.92%
Waning Rift,81.66%,48.89%,35.88,0.75%
Rocket Flare,49.24%,47.34%,35.93,-14.68%
Magnus,87.49%,49.27%,35.95,4.61%
False Promise,80.04%,50.63%,35.96,18.23%
Slardar,70.71%,50.88%,35.98,20.79%
Tiny,63.54%,46.97%,36.02,-18.28%
Flaming Lasso,58.53%,47.95%,36.03,-8.48%
Heavenly Jump,85.28%,50.09%,36.06,12.91%
Night Stalker,60.98%,49.31%,36.10,5.22%
Dissimilate,85.37%,49.03%,36.12,2.45%
Magnetic Field,79.38%,48.85%,36.14,0.66%
Guardian Sprint,84.46%,49.72%,36.23,9.40%
Shadow Word,46.59%,49.11%,36.24,3.28%
Disruptor,72.15%,47.80%,36.25,-9.74%
Shallow Grave,71.36%,49.61%,36.25,8.35%
Echo Stomp,35.81%,46.81%,36.25,-19.71%
Beastmaster,76.66%,46.84%,36.26,-19.32%
Lycan,67.19%,49.91%,36.27,11.31%
Undying,75.65%,48.75%,36.27,-0.28%
Dawnbreaker,78.13%,49.72%,36.27,9.46%
Lich,73.10%,49.83%,36.28,10.56%
Primal Split,68.57%,51.35%,36.33,25.80%
Requiem of Souls,53.47%,53.05%,36.39,42.87%
Spectral Dagger,83.57%,51.64%,36.39,28.75%
Void,66.94%,47.14%,36.40,-16.18%
Broodmother,41.28%,46.67%,36.42,-20.94%
Pangolier,78.77%,46.80%,36.44,-19.58%
Adaptive Strike,49.05%,48.23%,36.46,-5.27%
Dark Pact,75.66%,49.26%,36.47,5.03%
Timber Chain,71.05%,46.66%,36.52,-20.93%
Sand King,75.67%,45.37%,36.54,-33.76%
Ringmaster,70.21%,47.08%,36.55,-16.65%
Disseminate,50.30%,49.11%,36.55,3.67%
Last Word,67.96%,47.96%,36.68,-7.79%
Sanity's Eclipse,45.90%,47.49%,36.68,-12.43%
Ursa,56.36%,46.41%,36.68,-23.24%
Elder Titan,68.09%,48.42%,36.69,-3.15%
Shadow Shaman,77.64%,48.03%,36.71,-7.00%
Time Lapse,82.83%,49.51%,36.71,7.79%
Nether Swap,74.49%,49.64%,36.72,9.07%
Poof,22.17%,48.24%,36.76,-4.84%
Call of the Wild Hawk,38.86%,44.77%,36.81,-39.51%
Doom,63.97%,46.82%,36.82,-19.01%
Onslaught,69.70%,48.24%,36.86,-4.79%
Soul Rip,37.10%,47.62%,36.87,-10.95%
Marci,68.56%,48.81%,36.95,1.03%
Tree Dance,51.78%,43.81%,36.97,-48.95%
Enigma,73.91%,47.56%,37.01,-11.41%
Spawn Spiderlings,47.34%,46.43%,37.04,-22.64%
Reactive Tazer,79.89%,51.29%,37.09,26.00%
Nature's Grasp,66.50%,49.75%,37.12,10.65%
Press The Attack,76.94%,50.52%,37.13,18.35%
Ghost Shroud,59.04%,49.71%,37.16,10.27%
Nether Strike,48.41%,44.32%,37.16,-43.69%
Bulldoze,78.06%,49.52%,37.17,8.32%
Sticky Bomb,54.26%,49.38%,37.22,7.00%
Wheel of Wonder,69.70%,51.40%,37.27,27.29%
Thunder Clap,54.27%,47.49%,37.32,-11.77%
Stone Gaze,82.65%,49.15%,37.36,4.86%
Divine Favor,33.54%,49.72%,37.40,10.60%
Firesnap Cookie,62.87%,49.69%,37.43,10.28%
Hand of God,38.07%,50.06%,37.44,14.04%
Breathe Fire,65.31%,48.38%,37.54,-2.71%
Open Wounds,62.04%,46.13%,37.59,-25.11%
Timbersaw,75.03%,49.51%,37.59,8.68%
Cursed Crown,60.32%,47.98%,37.62,-6.60%
Blinding Light,24.00%,46.77%,37.63,-18.69%
Dark Seer,78.26%,50.19%,37.63,15.51%
Bristleback,69.40%,47.61%,37.63,-10.27%
Underlord,67.35%,50.60%,37.63,19.60%
Earthbind,37.38%,45.74%,37.70,-28.91%
Spirit Breaker,63.59%,50.74%,37.76,21.15%
Eclipse,75.29%,47.92%,37.76,-7.07%
Wave of Terror,73.27%,49.07%,37.77,4.49%
Ice Wall (AD),37.19%,48.33%,37.79,-2.91%
Meepo,39.87%,49.28%,37.81,6.59%
Unknown Ability #1520,72.25%,47.82%,37.90,-7.88%
Living Armor,37.59%,47.46%,37.96,-11.42%
Enchant,45.94%,47.49%,37.98,-11.13%
Earth Splitter,56.93%,48.52%,38.03,-0.81%
X Marks the Spot,52.22%,47.04%,38.05,-15.54%
Telekinesis,41.46%,48.20%,38.07,-3.97%
Drinking Buddies,50.04%,46.28%,38.08,-23.12%
Flamebreak,34.92%,48.15%,38.12,-4.33%
Fiend's Gate,37.65%,47.50%,38.20,-10.84%
Call Down,66.60%,48.90%,38.24,3.28%
Howl,61.48%,50.90%,38.30,23.27%
Gust,81.61%,50.17%,38.35,16.02%
Fate's Edict,60.65%,49.13%,38.38,5.69%
Relocate,41.10%,46.79%,38.41,-17.69%
Healing Ward,39.20%,51.87%,38.49,33.18%
Defense Matrix,37.12%,47.27%,38.51,-12.79%
Leech Seed,45.95%,49.04%,38.64,5.03%
Mana Void,53.87%,46.10%,38.67,-24.37%
Warcry,74.04%,51.23%,38.68,26.98%
Time Dilation,41.90%,49.35%,38.88,8.34%
Guardian Angel,59.62%,47.74%,38.91,-7.68%
Psionic Trap,44.23%,45.44%,38.92,-30.64%
Whirling Axes (Ranged),58.35%,48.24%,38.96,-2.68%
Song of the Siren,54.34%,49.93%,38.98,14.27%
Stampede,73.64%,50.94%,38.99,24.44%
Moonlight Shadow,62.98%,50.60%,39.24,21.27%
Savage Roar,40.72%,48.56%,39.60,1.22%
Silence,49.87%,48.60%,39.72,1.70%
